实验号,靶仪器,比对仪器,a,0.1232
BDF935,11.8,11.5,aUCI,0.2459
BDF936,9.42,9.25,aLCI,-0.0083
BDF937,3.9,3.92,b,0.9689
BDF938,5.97,6.17,bUCI,0.9975
BDF939,6.36,6.55,bLCI,0.9512
BDF987,5.36,5.16,OutLiersNumber,2
BDF988,10.8,10.5,OutLiers,"24,47"
BDF990,10.9,11.2,,
BDF991,5.37,5.07,,
BDF195,16.4,17,,
BDF196,9.18,8.83,,
BDF197,5.16,5.17,,
BDF198,10.7,11.1,,
BDF199,5.68,5.96,,
BDF143,8.56,8.36,,
BDF144,12.4,11.2,,
BDF145,15.8,14.7,,
BDF146,8.85,7.97,,
BDF147,17.2,17.2,,
BDF320,1.88,1.78,,
BDF321,4.74,4.69,,
BDF322,3.28,3.33,,
BDF323,7.42,6.73,,
BDF324,27.8,26.5,,
BDF356,12,11.9,,
BDF357,13.7,13,,
BDF358,6.03,6.31,,
BDF359,2.89,2.91,,
BDF360,7.12,7.49,,
BDF474,8.41,8.48,,
BDF475,7.76,7.56,,
BDF476,12.1,11.8,,
BDF477,5.04,5.04,,
BDF478,1.42,1.46,,
BDF490,4.15,4.2,,
BDF491,15.1,14.9,,
BDF492,3.44,3.66,,
BDF493,2.95,2.93,,
BDF494,5.26,5.56,,
BDF514,6.05,6.39,,
BDF515,8.89,8.96,,
BDF516,23.7,22.6,,
BDF517,7.13,7.49,,
BDF518,2.47,2.55,,
BDF548,6.08,6.18,,
BDF549,1.12,1.08,,
BDF550,37.3,35.8,,
BDF551,4.6,4.58,,
BDF552,2.61,2.59,,
