实验号,靶仪器数据,比对仪器数据,a,1
BD1,59.7,61.1,aUCI,3.8166
BD2,117,110,aLCI,-3.1114
BD3,106,108,b,1
BD4,174,175,bUCI,1.024
BD5,247,230,bLCI,0.98
BD6,102,104,OutLiersNumber,3
BD7,109,102,,
BD8,133,132,,
BD9,194,193,,
BD10,200,185,,
BD11,47,47,,
BD12,194,197,,
BD13,124,124,,
BD14,171,173,,
BD15,197,205,,
BD16,128,125,,
BD17,107,109,,
BD18,126,127,,
BD19,178,179,,
BD20,212,212,,
BD21,232,236,,
BD22,178,180,,
BD23,157,157,,
BD24,83.9,86,,
BD25,92.7,97,,
BD26,252,270,,
BD27,192,193,,
BD28,163,167,,
BD29,131,130,,
BD30,182,184,,
BD31,259,255,,
BD32,176,173,,
BD33,117,116,,
BD34,148,141,,
BD35,80.9,79.8,,
BD36,98.8,96.5,,
BD37,103,101,,
BD38,148,146,,
BD39,221,218,,
BD40,239,230,,
BD41,93.7,98.7,,
BD42,131,135,,
BD43,180,181,,
BD44,161,165,,
BD45,230,235,,
BD46,114,117,,
BD47,235,237,,
BD48,163,160,,
BD49,143,144,,
BD50,113,116,,
