实验号,靶仪器数据,比对仪器数据,a,-0.8557
BDG012,30.7,29.2,aUCI,-0.02626
BDH0052,23.4,23.2,aLCI,-1.7845
BDH0147,33.8,34.4,b,1.0278
BDW106,43.6,46.6,bUCI,1.069
BD001,15.7,15.7,bLCI,0.9961
BD002,16.6,16.2,OutLiersNumber,0
BD003,65.9,65.7,OutLiers,
BD004,53.5,55.9,,
BD005,66.2,65.7,,
BD006,58.9,58.2,,
BD007,14.8,14.5,,
BD008,12.6,12.4,,
BD009,20.6,19.1,,
BD010,38.4,38,,
BD011,46.7,47,,
BD012,61.1,63.8,,
BD013,15.3,14.6,,
BD014,18,17,,
BD015,58.1,59.5,,
BD016,68.4,68.9,,
BDW014,40.8,42.7,,
BDW054,25.3,26.2,,
BDW056,35.9,38.2,,
BDW096,32.5,31.4,,
